Samples;2048;Curves ;40;SampleDist;4.883E-04;Stímulus;Flimmer 4Hz
Point;Curve_1;Curve_2;Curve_3;Curve_4;Curve_5;Curve_6;Curve_7;Curve_8;Curve_9;Curve_10;Curve_11;Curve_12;Curve_13;Curve_14;Curve_15;Curve_16;Curve_17;Curve_18;Curve_19;Curve_20;Curve_21;Curve_22;Curve_23;Curve_24;Curve_25;Curve_26;Curve_27;Curve_28;Curve_29;Curve_30;Curve_31;Curve_32;Curve_33;Curve_34;Curve_35;Curve_36;Curve_37;Curve_38;Curve_39;Curve_40;
1;-9.347E-05;2.377E-05;-6.648E-05;3.700E-05;3.173E-05;9.146E-05;2.421E-05;-2.775E-05;2.209E-05;-2.868E-05;-2.865E-06;3.183E-05;1.770E-06;-8.888E-05;9.407E-05;4.410E-06;8.007E-05;-3.951E-05;6.964E-05;-1.090E-04;1.253E-04;-1.498E-04;2.715E-05;-1.927E-07;4.440E-05;-8.059E-05;1.121E-04;-5.385E-05;-6.589E-06;1.034E-04;-2.869E-05;1.060E-04;-4.508E-05;1.436E-05;6.111E-05;-6.262E-06;8.952E-05;7.607E-05;-5.026E-05;6.056E-06;
2;-9.462E-05;2.396E-05;-6.494E-05;3.536E-05;3.109E-05;9.131E-05;4.465E-05;-2.635E-05;2.246E-05;-2.889E-05;-1.533E-06;3.122E-05;1.952E-07;-8.760E-05;9.513E-05;4.107E-06;8.098E-05;-3.724E-05;6.795E-05;-1.115E-04;1.269E-04;-1.434E-04;2.479E-05;5.038E-07;4.489E-05;-7.371E-05;1.120E-04;-5.222E-05;-8.709E-06;1.044E-04;-3.023E-05;1.257E-04;-4.696E-05;1.103E-05;4.860E-05;-6.807E-06;8.955E-05;7.570E-05;-5.007E-05;6.147E-06;
3;-9.671E-05;2.386E-05;-6.388E-05;3.291E-05;3.030E-05;9.249E-05;7.276E-05;-2.538E-05;2.367E-05;-2.844E-05;-5.332E-07;3.116E-05;-9.859E-07;-8.869E-05;9.504E-05;6.682E-06;6.826E-05;-3.658E-05;6.731E-05;-1.139E-04;1.281E-04;-1.375E-04;2.245E-05;5.947E-07;4.540E-05;-6.741E-05;1.123E-04;-4.997E-05;-1.068E-05;1.056E-04;-3.117E-05;1.366E-04;-4.902E-05;8.427E-06;4.312E-05;-7.352E-06;8.921E-05;7.631E-05;-4.862E-05;6.177E-06;
4;-9.898E-05;2.362E-05;-6.388E-05;3.009E-05;2.909E-05;9.479E-05;1.002E-04;-2.508E-05;2.418E-05;-2.620E-05;1.028E-07;2.910E-05;-5.316E-07;-9.184E-05;9.338E-05;1.195E-05;4.473E-05;-3.630E-05;6.701E-05;-1.112E-04;1.294E-04;-1.330E-04;1.961E-05;5.947E-07;4.582E-05;-6.338E-05;1.122E-04;-4.740E-05;-1.210E-05;1.060E-04;-3.199E-05;1.343E-04;-5.129E-05;6.428E-06;4.048E-05;-7.201E-06;8.706E-05;7.725E-05;-4.705E-05;5.299E-06;
5;-1.011E-04;2.350E-05;-6.560E-05;2.809E-05;2.809E-05;9.797E-05;1.195E-04;-2.566E-05;2.370E-05;-2.271E-05;1.133E-06;2.444E-05;-1.985E-07;-9.360E-05;9.126E-05;1.804E-05;1.602E-05;-3.670E-05;6.689E-05;-1.008E-04;1.310E-04;-1.311E-04;1.785E-05;5.947E-07;4.579E-05;-6.169E-05;1.123E-04;-4.458E-05;-1.313E-05;1.058E-04;-3.187E-05;1.186E-04;-5.311E-05;5.126E-06;3.851E-05;-6.625E-06;8.300E-05;7.779E-05;-4.665E-05;4.239E-06;
6;-1.036E-04;2.380E-05;-6.918E-05;2.685E-05;2.688E-05;1.009E-04;1.291E-04;-2.781E-05;2.297E-05;-1.890E-05;1.829E-06;1.944E-05;-7.739E-07;-9.511E-05;9.177E-05;2.337E-05;-8.272E-06;-3.815E-05;6.719E-05;-8.097E-05;1.330E-04;-1.324E-04;1.552E-05;1.443E-06;4.476E-05;-6.238E-05;1.132E-04;-4.274E-05;-1.401E-05;1.036E-04;-3.075E-05;9.341E-05;-5.347E-05;5.580E-06;3.658E-05;-5.929E-06;7.867E-05;7.852E-05;-4.786E-05;3.603E-06;
7;-1.050E-04;2.244E-05;-7.309E-05;2.549E-05;2.567E-05;1.038E-04;1.262E-04;-3.038E-05;2.234E-05;-1.529E-05;6.177E-07;1.499E-05;-1.561E-06;-9.726E-05;9.374E-05;2.934E-05;-2.205E-05;-4.178E-05;6.734E-05;-5.659E-05;1.345E-04;-1.358E-04;1.306E-05;2.230E-06;4.234E-05;-6.438E-05;1.140E-04;-4.159E-05;-1.610E-05;1.003E-04;-2.935E-05;6.476E-05;-5.238E-05;6.580E-06;3.512E-05;-5.051E-06;7.471E-05;7.964E-05;-5.004E-05;2.573E-06;
8;-1.053E-04;1.993E-05;-7.639E-05;2.388E-05;2.476E-05;1.058E-04;1.118E-04;-3.244E-05;2.228E-05;-1.251E-05;-1.109E-06;1.269E-05;-2.046E-06;-9.793E-05;9.492E-05;3.291E-05;-2.605E-05;-4.684E-05;6.652E-05;-3.591E-05;1.359E-04;-1.418E-04;1.140E-05;2.260E-06;3.853E-05;-6.668E-05;1.134E-04;-4.298E-05;-1.910E-05;9.689E-05;-2.832E-05;4.159E-05;-5.008E-05;6.913E-06;3.370E-05;-4.263E-06;6.977E-05;8.158E-05;-5.250E-05;1.513E-06;
9;-1.046E-04;1.775E-05;-7.938E-05;2.252E-05;2.479E-05;1.064E-04;8.784E-05;-3.353E-05;2.249E-05;-1.142E-05;-3.168E-06;1.214E-05;-2.046E-06;-9.675E-05;9.562E-05;3.345E-05;-2.753E-05;-5.005E-05;6.619E-05;-2.261E-05;1.378E-04;-1.479E-04;1.061E-05;1.110E-06;3.495E-05;-6.914E-05;1.115E-04;-4.740E-05;-2.116E-05;9.443E-05;-2.787E-05;2.757E-05;-4.684E-05;6.610E-06;3.152E-05;-3.415E-06;6.447E-05;8.282E-05;-5.537E-05;-3.165E-08;
10;-1.025E-04;1.705E-05;-8.278E-05;2.216E-05;2.527E-05;1.057E-04;5.952E-05;-3.480E-05;2.267E-05;-1.114E-05;-5.530E-06;1.205E-05;-1.622E-06;-9.375E-05;9.619E-05;3.252E-05;-2.920E-05;-5.126E-05;6.776E-05;-1.552E-05;1.370E-04;-1.526E-04;1.110E-05;-1.010E-06;3.217E-05;-7.023E-05;1.095E-04;-5.437E-05;-2.209E-05;9.286E-05;-2.847E-05;1.993E-05;-4.329E-05;6.489E-06;2.925E-05;-3.143E-06;6.138E-05;8.334E-05;-5.837E-05;-1.304E-06;
11;-1.018E-04;1.817E-05;-8.587E-05;2.161E-05;2.540E-05;1.039E-04;3.696E-05;-3.680E-05;2.137E-05;-1.199E-05;-7.166E-06;1.120E-05;-1.107E-06;-9.021E-05;9.650E-05;3.158E-05;-3.002E-05;-5.135E-05;6.843E-05;-1.734E-05;1.361E-04;-1.561E-04;1.104E-05;-2.525E-06;2.923E-05;-7.041E-05;1.084E-04;-6.124E-05;-2.155E-05;9.186E-05;-2.996E-05;1.524E-05;-3.975E-05;6.731E-06;2.791E-05;-3.385E-06;5.935E-05;8.282E-05;-6.104E-05;-1.819E-06;
12;-1.037E-04;1.835E-05;-8.729E-05;2.204E-05;2.455E-05;1.015E-04;2.527E-05;-3.880E-05;2.064E-05;-1.435E-05;-7.923E-06;1.042E-05;-4.711E-07;-8.679E-05;9.580E-05;2.982E-05;-2.971E-05;-4.981E-05;6.895E-05;-2.991E-05;1.370E-04;-1.552E-04;1.034E-05;-3.736E-06;2.702E-05;-6.932E-05;1.081E-04;-6.742E-05;-2.110E-05;9.162E-05;-3.141E-05;1.303E-05;-3.699E-05;7.306E-06;2.807E-05;-3.506E-06;5.744E-05;8.206E-05;-6.382E-05;-1.697E-06;
13;-1.050E-04;1.775E-05;-8.953E-05;2.376E-05;2.364E-05;9.857E-05;2.064E-05;-3.974E-05;2.067E-05;-1.784E-05;-7.590E-06;9.901E-06;6.495E-07;-8.476E-05;9.474E-05;2.670E-05;-2.808E-05;-4.693E-05;7.076E-05;-5.014E-05;1.365E-04;-1.511E-04;1.179E-05;-4.160E-06;2.456E-05;-6.744E-05;1.071E-04;-7.230E-05;-2.343E-05;9.207E-05;-3.211E-05;1.248E-05;-3.406E-05;7.700E-06;2.907E-05;-4.324E-06;5.572E-05;8.043E-05;-6.700E-05;-1.455E-06;
14;-1.062E-04;1.869E-05;-9.144E-05;2.288E-05;2.315E-05;9.612E-05;1.888E-05;-3.926E-05;1.982E-05;-2.044E-05;-7.438E-06;9.235E-06;2.255E-06;-8.461E-05;9.326E-05;2.364E-05;-2.705E-05;-4.327E-05;7.319E-05;-7.025E-05;1.341E-04;-1.456E-04;1.264E-05;-1.465E-06;2.420E-05;-6.656E-05;1.052E-04;-7.508E-05;-2.758E-05;9.307E-05;-3.293E-05;1.106E-05;-3.142E-05;6.913E-06;3.155E-05;-5.838E-06;5.478E-05;7.794E-05;-7.055E-05;-2.727E-06;
15;-1.081E-04;2.096E-05;-9.101E-05;2.061E-05;1.997E-05;9.603E-05;1.967E-05;-3.841E-05;1.770E-05;-2.099E-05;-7.438E-06;7.751E-06;4.163E-06;-8.560E-05;9.089E-05;2.140E-05;-2.653E-05;-3.933E-05;7.561E-05;-8.285E-05;1.326E-04;-1.400E-04;1.134E-05;1.958E-06;2.720E-05;-6.347E-05;1.038E-04;-7.611E-05;-2.942E-05;9.449E-05;-3.335E-05;1.039E-05;-3.033E-05;3.884E-06;3.430E-05;-7.231E-06;5.369E-05;7.616E-05;-7.288E-05;-3.757E-06;
16;-1.099E-04;2.302E-05;-9.020E-05;1.949E-05;1.643E-05;9.591E-05;2.291E-05;-3.647E-05;1.586E-05;-2.108E-05;-8.438E-06;4.964E-06;5.859E-06;-8.766E-05;8.835E-05;2.016E-05;-2.657E-05;-3.567E-05;7.721E-05;-8.824E-05;1.335E-04;-1.349E-04;8.279E-06;5.016E-06;3.056E-05;-5.954E-05;1.047E-04;-7.245E-05;-2.361E-05;9.407E-05;-3.499E-05;9.607E-06;-2.969E-05;-2.347E-07;3.682E-05;-8.836E-06;5.223E-05;7.467E-05;-7.439E-05;-3.817E-06;
