Samples;2048;Curves ;80;SampleDist;4.883E-04;Stímulus;Flimmer 4Hz
Point;Curve_1;Curve_2;Curve_3;Curve_4;Curve_5;Curve_6;Curve_7;Curve_8;Curve_9;Curve_10;Curve_11;Curve_12;Curve_13;Curve_14;Curve_15;Curve_16;Curve_17;Curve_18;Curve_19;Curve_20;Curve_21;Curve_22;Curve_23;Curve_24;Curve_25;Curve_26;Curve_27;Curve_28;Curve_29;Curve_30;Curve_31;Curve_32;Curve_33;Curve_34;Curve_35;Curve_36;Curve_37;Curve_38;Curve_39;Curve_40;Curve_41;Curve_42;Curve_43;Curve_44;Curve_45;Curve_46;Curve_47;Curve_48;Curve_49;Curve_50;Curve_51;Curve_52;Curve_53;Curve_54;Curve_55;Curve_56;Curve_57;Curve_58;Curve_59;Curve_60;Curve_61;Curve_62;Curve_63;Curve_64;Curve_65;Curve_66;Curve_67;Curve_68;Curve_69;Curve_70;Curve_71;Curve_72;Curve_73;Curve_74;Curve_75;Curve_76;Curve_77;Curve_78;Curve_79;Curve_80;
1;-7.688E-05;2.000E-07;-1.311E-04;-1.375E-04;-1.078E-04;-1.113E-04;-6.536E-05;-9.165E-05;-1.424E-04;-6.618E-05;-1.279E-04;-1.052E-04;-1.369E-05;-8.515E-07;-9.342E-05;9.052E-06;-6.286E-05;-6.036E-05;-1.311E-04;-3.353E-05;-3.229E-05;1.820E-05;3.835E-05;1.019E-05;-2.686E-05;2.353E-06;2.849E-05;1.301E-04;-9.143E-06;1.030E-04;7.464E-05;7.327E-05;8.203E-05;2.501E-05;-2.249E-05;-3.792E-05;4.117E-05;8.110E-05;3.887E-05;-7.661E-05;7.787E-05;3.304E-05;5.806E-05;1.014E-04;5.667E-05;1.112E-04;5.841E-05;1.512E-05;-2.370E-05;8.443E-05;-4.069E-05;-4.924E-05;3.949E-07;-4.596E-05;-1.993E-05;-9.848E-05;-7.288E-05;-4.103E-05;-4.383E-05;-1.160E-05;8.139E-05;1.794E-05;-4.929E-05;-3.219E-05;3.772E-05;-3.689E-05;6.415E-08;-4.268E-05;2.462E-05;-3.707E-05;-8.870E-05;-6.813E-07;-8.654E-05;-2.555E-05;-8.781E-05;-8.292E-05;-6.990E-05;-1.100E-04;-2.140E-05;-4.308E-05;
2;-8.115E-05;4.861E-08;-1.306E-04;-1.390E-04;-1.072E-04;-1.112E-04;-6.848E-05;-8.726E-05;-1.443E-04;-6.778E-05;-1.318E-04;-1.067E-04;-1.600E-05;-4.213E-06;-9.448E-05;7.265E-06;-6.359E-05;-6.024E-05;-1.296E-04;-3.265E-05;-3.277E-05;1.590E-05;3.753E-05;9.248E-06;-2.471E-05;2.172E-06;2.780E-05;1.285E-04;-1.002E-05;1.038E-04;5.132E-05;7.390E-05;8.069E-05;2.731E-05;-2.204E-05;-4.113E-05;4.208E-05;8.615E-05;4.287E-05;-8.125E-05;7.848E-05;3.358E-05;5.909E-05;1.007E-04;5.431E-05;1.209E-04;5.654E-05;2.051E-05;-2.451E-05;8.352E-05;-3.630E-05;-5.051E-05;-3.017E-07;-5.020E-05;-1.969E-05;-9.736E-05;-6.870E-05;-3.455E-05;-3.732E-05;-5.388E-06;8.775E-05;2.088E-05;-5.289E-05;-3.340E-05;4.060E-05;-3.452E-05;-9.082E-06;-4.741E-05;3.079E-05;-3.016E-05;-8.782E-05;-1.832E-06;-8.832E-05;-2.667E-05;-8.491E-05;-8.550E-05;-6.236E-05;-1.132E-04;-2.064E-05;-3.966E-05;
3;-8.421E-05;1.442E-06;-1.281E-04;-1.411E-04;-1.054E-04;-1.090E-04;-7.118E-05;-8.229E-05;-1.457E-04;-6.890E-05;-1.337E-04;-1.100E-04;-1.818E-05;-6.394E-06;-9.509E-05;5.963E-06;-6.398E-05;-6.196E-05;-1.281E-04;-3.038E-05;-3.535E-05;1.366E-05;3.686E-05;6.886E-06;-2.471E-05;4.595E-06;2.886E-05;1.265E-04;-1.093E-05;1.047E-04;4.196E-05;7.454E-05;7.969E-05;2.801E-05;-2.179E-05;-4.534E-05;4.180E-05;9.291E-05;4.554E-05;-8.782E-05;7.823E-05;3.443E-05;5.943E-05;1.003E-04;5.367E-05;1.320E-04;5.118E-05;2.251E-05;-2.730E-05;8.380E-05;-3.136E-05;-5.187E-05;-4.057E-06;-5.044E-05;-1.748E-05;-9.851E-05;-6.591E-05;-3.158E-05;-3.253E-05;1.154E-06;9.611E-05;2.385E-05;-5.625E-05;-3.795E-05;4.184E-05;-2.947E-05;-1.405E-05;-5.280E-05;3.240E-05;-2.329E-05;-8.842E-05;-5.436E-06;-8.984E-05;-4.487E-05;-8.300E-05;-8.919E-05;-5.824E-05;-1.172E-04;-2.407E-05;-3.423E-05;
4;-8.614E-05;3.925E-06;-1.241E-04;-1.430E-04;-1.034E-04;-1.045E-04;-7.260E-05;-7.772E-05;-1.449E-04;-6.857E-05;-1.343E-04;-1.143E-04;-2.014E-05;-8.241E-06;-9.578E-05;6.569E-06;-6.522E-05;-6.484E-05;-1.264E-04;-2.835E-05;-4.004E-05;1.142E-05;3.593E-05;6.341E-06;-2.474E-05;6.745E-06;3.282E-05;1.249E-04;-1.199E-05;1.058E-04;4.686E-05;7.545E-05;7.782E-05;2.671E-05;-2.204E-05;-4.892E-05;4.071E-05;9.918E-05;4.651E-05;-9.590E-05;7.778E-05;3.440E-05;5.864E-05;9.971E-05;5.506E-05;1.446E-04;4.784E-05;2.127E-05;-3.348E-05;8.664E-05;-2.397E-05;-5.194E-05;-1.051E-05;-4.692E-05;-1.390E-05;-1.004E-04;-6.549E-05;-3.333E-05;-3.044E-05;7.181E-06;1.040E-04;2.712E-05;-5.904E-05;-4.146E-05;4.051E-05;-2.529E-05;-1.408E-05;-5.428E-05;2.062E-05;-1.911E-05;-9.194E-05;-9.888E-06;-9.050E-05;-7.143E-05;-8.324E-05;-9.392E-05;-5.760E-05;-1.201E-04;-3.024E-05;-2.830E-05;
5;-8.723E-05;7.075E-06;-1.190E-04;-1.441E-04;-1.007E-04;-9.872E-05;-7.297E-05;-7.442E-05;-1.416E-04;-6.687E-05;-1.328E-04;-1.169E-04;-2.217E-05;-9.968E-06;-9.654E-05;8.235E-06;-6.692E-05;-6.817E-05;-1.249E-04;-2.650E-05;-4.628E-05;8.753E-06;3.332E-05;7.946E-06;-2.534E-05;8.017E-06;3.561E-05;1.264E-04;-1.332E-05;1.053E-04;5.680E-05;7.560E-05;7.506E-05;2.516E-05;-2.291E-05;-5.055E-05;4.020E-05;1.033E-04;4.560E-05;-1.034E-04;7.714E-05;3.431E-05;5.743E-05;9.907E-05;5.670E-05;1.588E-04;4.685E-05;2.009E-05;-4.169E-05;8.955E-05;-1.098E-05;-5.133E-05;-1.778E-05;-3.914E-05;-1.078E-05;-1.028E-04;-6.636E-05;-3.969E-05;-3.087E-05;1.100E-05;1.108E-04;2.897E-05;-5.986E-05;-4.276E-05;3.851E-05;-2.323E-05;-1.111E-05;-5.355E-05;1.296E-06;-1.744E-05;-9.796E-05;-1.446E-05;-9.047E-05;-1.014E-04;-8.609E-05;-9.852E-05;-6.012E-05;-1.207E-04;-3.827E-05;-2.306E-05;
6;-8.663E-05;1.010E-05;-1.146E-04;-1.443E-04;-9.756E-05;-9.430E-05;-7.260E-05;-7.345E-05;-1.383E-04;-6.609E-05;-1.295E-04;-1.186E-04;-2.463E-05;-1.166E-05;-9.766E-05;9.537E-06;-6.813E-05;-7.202E-05;-1.243E-04;-2.445E-05;-5.261E-05;5.725E-06;2.987E-05;9.460E-06;-2.783E-05;9.743E-06;3.600E-05;1.291E-04;-1.284E-05;1.036E-04;6.395E-05;7.575E-05;7.249E-05;2.280E-05;-2.397E-05;-5.058E-05;4.074E-05;1.048E-04;4.269E-05;-1.088E-04;7.605E-05;3.534E-05;5.667E-05;9.895E-05;5.755E-05;1.632E-04;4.666E-05;1.772E-05;-4.762E-05;9.131E-05;3.797E-06;-4.839E-05;-2.483E-05;-2.848E-05;-8.542E-06;-1.057E-04;-6.821E-05;-4.917E-05;-3.296E-05;1.357E-05;1.146E-04;2.991E-05;-5.913E-05;-4.194E-05;3.760E-05;-2.165E-05;-6.326E-06;-5.277E-05;-2.145E-05;-1.581E-05;-1.021E-04;-1.752E-05;-9.093E-05;-1.257E-04;-9.251E-05;-1.018E-04;-6.675E-05;-1.189E-04;-4.636E-05;-1.864E-05;
7;-8.309E-05;1.171E-05;-1.127E-04;-1.435E-04;-9.495E-05;-9.127E-05;-7.139E-05;-7.581E-05;-1.361E-04;-6.657E-05;-1.257E-04;-1.199E-04;-2.675E-05;-1.375E-05;-9.951E-05;9.931E-06;-6.877E-05;-7.835E-05;-1.233E-04;-2.326E-05;-5.818E-05;2.454E-06;2.569E-05;1.103E-05;-2.971E-05;1.211E-05;3.476E-05;1.309E-04;-1.299E-05;1.044E-04;6.740E-05;7.457E-05;7.040E-05;1.971E-05;-2.513E-05;-4.961E-05;4.074E-05;1.045E-04;3.912E-05;-1.106E-04;7.381E-05;3.685E-05;5.640E-05;9.804E-05;5.906E-05;1.516E-04;4.660E-05;1.336E-05;-5.114E-05;9.418E-05;1.597E-05;-4.467E-05;-2.913E-05;-1.731E-05;-7.633E-06;-1.084E-04;-7.051E-05;-6.059E-05;-3.477E-05;1.478E-05;1.160E-04;2.924E-05;-5.747E-05;-3.901E-05;3.681E-05;-2.020E-05;-9.958E-07;-5.095E-05;-4.571E-05;-1.659E-05;-1.010E-04;-1.649E-05;-9.268E-05;-1.339E-04;-1.005E-04;-1.022E-04;-7.674E-05;-1.164E-04;-5.223E-05;-1.615E-05;
8;-7.751E-05;1.038E-05;-1.125E-04;-1.419E-04;-9.365E-05;-8.960E-05;-7.003E-05;-8.054E-05;-1.348E-04;-6.736E-05;-1.205E-04;-1.206E-04;-2.859E-05;-1.490E-05;-1.010E-04;9.325E-06;-7.101E-05;-8.540E-05;-1.234E-04;-2.372E-05;-6.224E-05;1.823E-07;2.184E-05;1.191E-05;-3.064E-05;1.438E-05;3.340E-05;1.321E-04;-1.478E-05;1.044E-04;7.100E-05;7.336E-05;6.885E-05;1.702E-05;-2.561E-05;-4.792E-05;3.980E-05;1.034E-04;3.566E-05;-1.084E-04;7.045E-05;3.806E-05;5.676E-05;9.710E-05;6.067E-05;1.306E-04;4.691E-05;8.940E-06;-5.335E-05;9.827E-05;3.087E-05;-4.167E-05;-3.019E-05;-7.826E-06;-9.844E-06;-1.090E-04;-7.339E-05;-7.174E-05;-3.571E-05;1.493E-05;1.152E-04;2.724E-05;-5.441E-05;-3.386E-05;3.545E-05;-1.856E-05;4.849E-06;-4.841E-05;-5.958E-05;-1.984E-05;-9.887E-05;-1.246E-05;-9.371E-05;-1.275E-04;-1.090E-04;-9.967E-05;-8.759E-05;-1.133E-04;-5.568E-05;-1.467E-05;
9;-7.127E-05;7.226E-06;-1.134E-04;-1.405E-04;-9.404E-05;-8.963E-05;-6.948E-05;-8.650E-05;-1.343E-04;-6.851E-05;-1.137E-04;-1.200E-04;-3.096E-05;-1.512E-05;-1.026E-04;8.144E-06;-7.482E-05;-9.085E-05;-1.242E-04;-2.614E-05;-6.421E-05;-6.657E-07;1.878E-05;1.185E-05;-3.201E-05;1.601E-05;3.261E-05;1.326E-04;-1.726E-05;1.018E-04;7.321E-05;7.496E-05;6.828E-05;1.390E-05;-2.561E-05;-4.425E-05;3.793E-05;1.014E-04;3.345E-05;-1.021E-04;6.797E-05;3.803E-05;5.716E-05;9.668E-05;6.242E-05;1.054E-04;4.754E-05;5.155E-06;-5.329E-05;1.025E-04;4.196E-05;-3.800E-05;-3.047E-05;-2.011E-06;-1.493E-05;-1.066E-04;-7.539E-05;-8.070E-05;-3.583E-05;1.403E-05;1.128E-04;2.503E-05;-5.083E-05;-2.717E-05;3.315E-05;-1.759E-05;1.027E-05;-4.486E-05;-5.561E-05;-2.368E-05;-9.636E-05;-8.707E-06;-9.426E-05;-1.133E-04;-1.169E-04;-9.480E-05;-9.537E-05;-1.102E-04;-5.499E-05;-1.382E-05;
10;-6.564E-05;3.410E-06;-1.157E-04;-1.388E-04;-9.531E-05;-9.194E-05;-6.924E-05;-9.238E-05;-1.336E-04;-7.033E-05;-1.077E-04;-1.170E-04;-3.277E-05;-1.427E-05;-1.044E-04;5.872E-06;-7.891E-05;-9.328E-05;-1.258E-04;-2.832E-05;-6.533E-05;-3.325E-07;1.554E-05;1.122E-05;-3.388E-05;1.601E-05;3.134E-05;1.310E-04;-1.929E-05;9.967E-05;7.388E-05;7.657E-05;7.025E-05;1.154E-05;-2.540E-05;-4.119E-05;3.720E-05;9.948E-05;3.260E-05;-9.351E-05;6.681E-05;3.667E-05;5.655E-05;9.592E-05;6.439E-05;8.274E-05;4.872E-05;2.459E-06;-5.020E-05;1.062E-04;3.629E-05;-3.358E-05;-2.835E-05;-2.405E-06;-2.057E-05;-1.026E-04;-7.536E-05;-8.500E-05;-3.523E-05;1.230E-05;1.094E-04;2.403E-05;-4.871E-05;-2.023E-05;3.051E-05;-1.784E-05;1.466E-05;-4.123E-05;-3.938E-05;-2.692E-05;-9.224E-05;-3.982E-06;-9.602E-05;-1.018E-04;-1.206E-04;-8.931E-05;-9.858E-05;-1.081E-04;-4.993E-05;-1.364E-05;
