MouseID,FileName,Condition,NumCurves,RMS_Mean,RMS_Std,PeakToPeak_Mean,PeakToPeak_Std,SignalStd_Mean,SignalStd_Std,Amp4Hz_Mean,Amp4Hz_Std,SNR4Hz_Mean,SNR4Hz_Std,BandEnergy_0_5_Mean,BandEnergy_5_10_Mean,BandEnergy_10_30_Mean,BandEnergy_30_80_Mean,DominantFreq_0_80_Median,SpectralCentroid_0_80_Median
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,120,3.49084386295221e-05,2.30364166426843e-05,0.000155156833333333,9.74948808566342e-05,3.4916964319798e-05,2.30420428282663e-05,1.18154847566016e-05,8.65674529288164e-06,2.36039170536315,1.26046203157821,3.18981420928055e-09,1.63504373920617e-10,9.02781519392902e-11,3.41699272517758e-11,1.99992320294901,16.8347150172217
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,120,3.68993417831561e-05,2.29565778060218e-05,0.00018134875,0.000163537216901443,3.69083537118479e-05,2.29621844925819e-05,1.28012750937035e-05,8.14466512890932e-06,2.36118876441243,1.26510421900176,3.25276563204256e-09,2.48154476098979e-10,1.5712134404463e-10,8.77759023314133e-11,1.99992320294901,18.0882686194391
mdx5Cv_662,saw4Hzlow_s2_c1_5cv662.csv,low,120,3.21705606060286e-05,5.47459267924861e-06,0.000142746,2.2066831050358e-05,3.21784176241959e-05,5.47592973939269e-06,1.38494085135344e-05,6.57536773089209e-06,2.91004033267893,1.55200097613346,1.92978079172023e-09,9.86577733499954e-11,5.54401252841689e-11,3.44184313648903e-11,1.99992320294901,16.8566180698427
mdx5Cv_662,saw4Hzlow_s2_c2_5cv662.csv,low,120,3.55107951560569e-05,5.75253036656605e-06,0.000163097166666667,2.37229012206545e-05,3.55194679599365e-05,5.75393530743667e-06,1.38555281947167e-05,6.57701298680258e-06,2.48685034768476,1.31452187506333,2.33656616477312e-09,1.19255290453127e-10,6.43697019838341e-11,4.98377431008763e-11,1.99992320294901,17.9606880125405
mdx5Cv_663WT,saw4Hzhigh_s1_c2_5cv663WT.csv,high,120,2.89288987492666e-05,5.16309222473147e-06,0.00015374725,2.39143223132432e-05,2.89359640561091e-05,5.16435320706887e-06,1.36125297502612e-05,4.45143107473689e-06,2.90684540110139,1.06209587973265,1.45772512196267e-09,8.84810923391795e-11,8.03816113933978e-11,7.66864862807871e-11,1.99992320294901,21.2349970354783
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,160,4.31621167781505e-05,1.4513763347125e-05,0.0002024915,6.64551097571149e-05,4.31726582647637e-05,1.4517308044476e-05,1.52828106193907e-05,7.87059293530846e-06,2.27173362465731,1.15573383038435,3.79953171168524e-09,1.34269119403994e-10,1.3871873520273e-10,4.69410700969137e-11,1.99992320294901,16.2642289021941
mdx5Cv_663WT,saw4Hzlow_s1_c1_5cv663WT.csv,low,80,4.13801026732319e-05,5.90522589677487e-06,0.000182638,2.80035971649575e-05,4.13902089383918e-05,5.90666813040173e-06,2.28112880386333e-05,7.66079606139484e-06,3.67881099690962,1.37038603156684,3.14138068633718e-09,1.97558762668449e-10,9.10503022127732e-11,4.46406289428929e-11,1.99992320294901,15.5521612849986
mdx5Cv_663WT,saw4Hzlow_s1_c2_5cv663WT.csv,low,80,3.82621633810433e-05,6.56011356678194e-06,0.000183907375,3.05609894773104e-05,3.82715081517517e-05,6.56171574374266e-06,1.71203782160661e-05,5.40303627398798e-06,3.04949379837047,1.15308622075821,2.64858948442652e-09,1.79955160144959e-10,8.27489498596416e-11,7.41562506811812e-11,1.99992320294901,18.328550415829
mdx5Cv_701,saw4Hzhigh_s1_c1_5cv701.csv,high,160,6.94564223491457e-05,1.22730594331534e-05,0.000361535125,4.79321346363991e-05,6.94733856954779e-05,1.22760568831514e-05,2.55799513206931e-05,1.21620986039749e-05,2.29102644805657,1.27959700929076,8.85846797022634e-09,5.29076824229571e-10,2.35024479509438e-10,1.31423187042525e-10,1.99992320294901,16.4391274094224
mdx5Cv_701,saw4Hzhigh_s1_c2_5cv701.csv,high,160,7.81234866038042e-05,1.46382883182789e-05,0.0003801704375,5.69380194337676e-05,7.81425667076856e-05,1.46418634281818e-05,2.84944968071281e-05,1.33575565655176e-05,2.38101883045163,1.44081252098115,1.13980051223053e-08,6.65476060834992e-10,2.43413791298056e-10,1.35153532580941e-10,1.99992320294901,15.4356314720113
