MouseID,FileName,NumCurves,NumPhase1Candidates,NumFinalExcluded,FinalExcludeRatio,AvgRMSE,AvgMaxAbsDiff,OriginalAmp4Hz,FilteredAmp4Hz,DeltaAmp4Hz
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,120,22,14,0.116666666666667,3.56666619304391e-06,6.92423754716981e-06,5.18979027777351e-06,5.96125299989499e-06,7.71462722121481e-07
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,120,20,10,0.0833333333333333,3.55497236672344e-06,1.11533986363636e-05,6.62127579011059e-06,7.25311300027722e-06,6.31837210166635e-07
mdx5Cv_662,saw4Hzlow_s2_c1_5cv662.csv,120,10,5,0.0416666666666667,3.8722315996455e-07,1.13363793115942e-06,8.16878668148687e-06,8.10495678036203e-06,-6.38299011248392e-08
mdx5Cv_662,saw4Hzlow_s2_c2_5cv662.csv,120,14,4,0.0333333333333333,5.39320789106761e-07,1.5776805591954e-06,7.51864393766192e-06,7.75281159106675e-06,2.34167653404822e-07
mdx5Cv_663WT,saw4Hzhigh_s1_c2_5cv663WT.csv,120,6,4,0.0333333333333333,6.59847506890345e-07,1.76503672413793e-06,1.21634873513439e-05,1.20396569377342e-05,-1.23830413609609e-07
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,160,17,9,0.05625,1.15728817450349e-06,3.70690064569536e-06,7.84018103868918e-06,8.51661370203356e-06,6.76432663344379e-07
mdx5Cv_663WT,saw4Hzlow_s1_c1_5cv663WT.csv,80,13,6,0.075,9.61662583369121e-07,2.42829506756757e-06,2.04975039117625e-05,2.00752120789844e-05,-4.22291832778158e-07
mdx5Cv_663WT,saw4Hzlow_s1_c2_5cv663WT.csv,80,8,4,0.05,1.45310401098623e-06,4.13003565789474e-06,1.4635029626768e-05,1.48521749232123e-05,2.17145296444272e-07
mdx5Cv_701,saw4Hzhigh_s1_c1_5cv701.csv,160,7,3,0.01875,7.41541198273534e-07,1.7087677428344e-06,8.24511776717351e-06,8.04255543633949e-06,-2.02562330834025e-07
mdx5Cv_701,saw4Hzhigh_s1_c2_5cv701.csv,160,10,4,0.025,7.16374632177494e-07,1.43652419871795e-06,6.73750801818316e-06,6.50349449601288e-06,-2.34013522170284e-07
mdx5Cv_701,saw4Hzlow_s1_c1_5cv701.csv,40,1,1,0.025,1.46098329770958e-06,4.48030416025641e-06,4.23539788572166e-05,4.35425160899761e-05,1.18853723275952e-06
mdx5Cv_701,saw4Hzlow_s1_c2_5cv701.csv,40,3,0,0,0,0,3.70800918178833e-05,3.70800918178833e-05,0
mdx5Cv_702WT,saw4Hzhigh_s1_c1_5cv702WT.csv,200,27,16,0.08,3.02879988078062e-06,8.27730082608696e-06,1.12083864696532e-05,1.06048781416017e-05,-6.03508328051439e-07
mdx5Cv_702WT,saw4Hzhigh_s1_c2_5cv702WT.csv,200,29,20,0.1,2.03204374684877e-06,6.13317461111111e-06,1.40655445217394e-05,1.36038980244523e-05,-4.61646497287063e-07
mdx5Cv_702WT,saw4Hzlow_s1_c1_5cv702WT.csv,80,9,1,0.0125,1.18636614955623e-06,2.4014589556962e-06,2.7975132943419e-05,2.75207190338956e-05,-4.54413909523436e-07
mdx5Cv_702WT,saw4Hzlow_s1_c2_5cv702WT.csv,80,7,1,0.0125,8.75431382028963e-07,2.38474462025317e-06,2.27236679789128e-05,2.23925346545701e-05,-3.31133324342723e-07
mdx5Cv_710,saw4Hzhigh_s1_c1_5cv710.csv,120,13,2,0.0166666666666667,6.14058373538643e-07,1.88836057909604e-06,1.30856384516404e-05,1.29727203601831e-05,-1.12918091457343e-07
mdx5Cv_710,saw4Hzhigh_s1_c2_5cv710.csv,120,8,3,0.025,4.88207071641117e-07,1.4918647008547e-06,7.35756660286897e-06,7.30967851499554e-06,-4.78880878734287e-08
mdx5Cv_710,saw4Hzlow_s1_c1_5cv710.csv,80,17,5,0.0625,5.62876287382225e-06,1.05229091666667e-05,6.3965035856059e-05,7.1184462359659e-05,7.21942650360003e-06
mdx5Cv_710,saw4Hzlow_s1_c2_5cv710.csv,80,16,10,0.125,9.90837779564267e-06,1.54712178571428e-05,4.30254067042704e-05,5.66424963915377e-05,1.36170896872673e-05
